"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0S760","2020-04-27 00:00:00","1621.000","0.000","0.000","13.200","1.000","842.300","","3.500","-99.000","-99.000","-99.000","17.100","","12.100",""
"C0X160","2020-04-27 00:00:00","26.000","340.000","1.900","23.600","0.800","1012.400","","0.000","-99.000","-99.000","-99.000","29.200","","21.800",""
"C0C490","2020-04-27 00:00:00","157.000","91.000","1.000","20.100","0.700","998.500","","0.500","-99.000","-99.000","-99.000","22.300","","18.600",""
"C0F970","2020-04-27 00:00:00","145.000","1.000","0.300","21.700","0.760","998.600","","0.000","-99.000","-99.000","-99.000","25.600","","20.100",""
"C0R440","2020-04-27 00:00:00","1679.000","153.000","0.600","14.000","1.000","837.300","","0.500","-99.000","-99.000","-99.000","20.000","","13.900",""
"C0M690","2020-04-27 00:00:00","33.000","44.000","1.700","21.700","0.780","1011.300","","0.000","-99.000","-99.000","-99.000","27.400","","20.600",""
"C0V690","2020-04-27 00:00:00","30.000","46.000","1.200","24.800","0.760","1012.800","","0.000","-99.000","-99.000","-99.000","28.800","","22.600",""
"C0Z210","2020-04-27 00:00:00","126.000","11.000","0.900","18.800","0.990","1005.200","","2.000","-99.000","-99.000","-99.000","27.500","","18.100",""
"C0U770","2020-04-27 00:00:00","5.000","298.000","4.200","20.700","0.730","1017.800","","0.000","-99.000","-99.000","-99.000","25.100","","19.600",""
"C0Z080","2020-04-27 00:00:00","298.000","0.000","0.000","18.400","0.990","984.200","","4.000","-99.000","-99.000","-99.000","30.600","","17.700",""
"C0G640","2020-04-27 00:00:00","17.000","22.000","1.200","21.000","0.830","1016.700","","0.000","-99.000","-99.000","-99.000","25.200","","20.300",""
"C0X200","2020-04-27 00:00:00","61.000","304.000","0.700","22.000","0.930","1008.600","","0.000","-99.000","-99.000","-99.000","28.800","","20.100",""
